Slang;Formal
allaah;kembali
apain;kemudian
bangub;kemungkinan
lag;kemungkinannya
ambyar;kenapa
trosss;kepada
tross;kepadanya
anying;kesampaian
nanyak;keseluruhan
kyk;keseluruhannya
skrng;keterlaluan
skrg;ketika
e learning;khususnya
gae;kini
pdhl;kinilah
pdahal;kira
pdhal;kira-kira
mimin;kiranya
min;kita
engga;kitalah
iyaa;kok
iyaaa;kurang
iyy;lagi
iy;lagian
yes;lah
y;lain
dr;lainnya
dri;lalu
sumbe;lama
swipe;lamanya
bngt;lanjut
kir;lanjutnya
dosenya;lebih
log out;lewat
biasany;lima
ternyta;luar
msih;macam
join;maka
bapanya;makanya
tpi;makin
pda;malah
here;malahan
we;mampu
go;mampukah
again;mana
poto;manakala
photo;manalagi
ss;masa
dpt;masalah
idung;masalahnya
glowing;masih
wlwpun;masihkah
kw;masing
belon;masing-masing
pakabar;mau
ntah;maupun
gaberani;melainkan
seblm;melakukan
kezzzel;melalui
capek;melihat
cape;melihatnya
nnti;memang
nti;memastikan
tahajuddan;memberi
gwe;memberikan
belom;membuat
mw;memerlukan
bwt;memihak
amatt;meminta
yuuuu;memintakan
yuu;memisalkan
bbrp;memperbuat
plus;mempergunakan
jg;memperkirakan
ituu;memperlihatkan
tuuu;mempersiapkan
tuh;mempersoalkan
anjp;mempertanyakan
anj;mempunyai
essensial;memulai
jugak;memungkinkan
sebel;menaiki
unek;menambahkan
next;menandaskan
krusial;menanti
tar;menanti-nanti
berenti;menantikan
takan;menanya
dlm;menanyai
adl;menanyakan
hrs;mendapat
handsanitazer;mendapatkan
mba;mendatang
mas;mendatangi
mbak;mendatangkan
error;menegaskan
eror;mengakhiri
gokill;mengapa
gokilll;mengatakan
read;mengatakannya
shop;mengenai
bangt;mengerjakan
gaksuka;mengetahui
drakor;menggunakan
drama korea;menghendaki
toddler;mengibaratkan
kasian;mengibaratkannya
why;mengingat
what;mengingatkan
how;menginginkan
also;mengira
blur;mengucapkan
elah;mengucapkannya
mulu;mengungkapkan
nongol;menjadi
bug;menjawab
sekolahhh;menjelaskan
sekolahh;menuju
leyeh;menunjuk
thank ;menunjuki
you;menunjukkan
mood;menunjuknya
ofline;menurut
knp;menuturkan
power;menyampaikan
mkn;menyangkut
bs;menyatakan
yaallah;menyebutkan
ajaa;menyeluruh
ancur;menyiapkan
facial;merasa
nder;mereka
rapog;merekalah
sbb;merupakan
pgi;meski
liat;meskipun
off;meyakini
assignment;meyakinkan
assignments;minta
right;mirip
so;misal
kal;misalkan
gt;misalnya
duhh;mula
trs;mulai
logout;mulailah
amattt;mulanya
kaliii;mungkin
yaah;mungkinkah
xmau;nah
bljar;naik
pingin;namun
somehow;nanti
miss;nantinya
life;nyaris
almost;nyatanya
every;oleh
day;olehnya
meninggoy;pada
idup;padahal
interacting;padanya
with;pak
people;paling
blas;panjang
standart;pantas
amburadul;para
atuh;pasti
bat;pastilah
bangettt;penting
mmbuat;pentingnya
anjj;per
screenshots;percuma
krn;perlu
runut;perlukah
bnyk;perlunya
emak;pernah
ud;persoalan
samaa;pertama
sedihhh;pertama-tama
sedihh;pertanyaan
banyaaak;pertanyakan
banyaak;pihak
rilek;pihaknya
je;pukul
exam;pula
dahla;pun
tak;punya
room;rasa
worth it;rasanya
storytell;rata
ttg;rupanya
bosen;saat
bocah;saatnya
fis;saja
bio;sajalah
ujan;saling
gada;sama
udahlah;sama-sama
sambi;sambil
gimanaaa;sampai
ak;sampai-sampai
ayok;sampaikan
reply;sana
too;sangat
pusingg;sangatlah
pusinggg;satu
duh;saya
kls;sayalah
krna;se
feel;sebab
u;sebabnya
ade;sebagai
lg;sebagaimana
pngn;sebagainya
spt;sebagian
duel;sebaik
circle;sebaik-baiknya
kopid;sebaiknya
cok;sebaliknya
semangatt;sebanyak
semangattt;sebegini
have;sebegitu
nice;sebelum
first;sebelumnya
all;sebenarnya
sbaikmya;seberapa
anxiety;sebesar
submit;sebetulnya
etc;sebisanya
dll;sebuah
sekarangg;sebut
course;sebutlah
courses;sebutnya
kesel;secara
super;secukupnya
mencar;sedang
ato;sedangkan
udeh;sedemikian
enggak;sedikit
smt;sedikitnya
workshop;seenaknya
amat;segala
kdg;segalanya
karna;segera
tpb;seharusnya
see;sehingga
mayan;seingat
mayann;sejak
pdaku;sejauh
secape;sejenak
time;sejumlah
w;sekadar
setaun;sekadarnya
taun;sekali
mamposla;sekali-kali
focus;sekalian
twit;sekaligus
cepet;sekalipun
help;sekarang
emg;sekarang
gmn;sekecil
lets;seketika
support;sekiranya
each;sekitar
other;sekitarnya
public;sekurang-kurangnya
speaking;sekurangnya
poll;sela
kea;selain
gestur;selaku
gesture;selalu
enaaa;selama
haih;selama-lamanya
jhe;selamanya
face;selanjutnya
to;seluruh
convert;seluruhnya
clinical;semacam
years;semakin
inimah;semampu
abistu;semampunya
february;semasa
january;semasih
reti;semata
wis;semata-mata
wae;semaunya
apply;sementara
project;semisal
twit;semisalnya
respect;sempat
kudu;semua
them;semuanya
set;semula
bsk;sendiri
hadie;sendirian
iyha;sendirinya
mama;seolah
mami;seolah-olah
jug;seorang
then;sepanjang
fully;sepantasnya
boss;sepantasnyalah
hallo;seperlunya
aje;seperti
bundz;sepertinya
apus;sepihak
itung;sering
nnton;seringnya
trouble;serta
diuruss;serupa
njir;sesaat
takda;sesama
gtgt;sesampai
practical;sesegera
boong;sesekali
kepake;seseorang
suke;sesuatu
sapa;sesuatunya
semuanyaaaaaa;sesudah
student;sesudahnya
students;setelah
slalu;setempat
miiin;setengah
telp;seterusnya
aj;setiap
mudeng;setiba
loss;setibanya
ilang;setidak-tidaknya
emmak;setidaknya
jjur;setinggi
bru;seusai
semwa;sewaktu
gedeg;siap
yabalik;siapa
and;siapakah
login;siapapun
mo;sini
ngapaain;sinilah
offcam;soal
oncam;soalnya
bomat;suatu
sad;sudah
mmg;sudahkah
masuklh;sudahlah
diem;supaya
bln;tadi
je;tadinya
jatoh;tahu
jatohnya;tahun
mmf;tak
jbjb;tambah
gtu;tambahnya
heyy;tampak
morning;tampaknya
dh;tandas
gi;tandasnya
smngt;tanpa
kuis;tanya
cardi;tanyakan
kampretos;tanyanya
wkt;tapi
bestfriend;tegas
morningg;tegasnya
morninggg;telah
kak;tempat
everyone;tengah
met;tentang
she;tentu
like;tentulah
ngadi;tentunya
split;tepat
saking;terakhir
smkin;terasa
rajiiiin;terbanyak
stand by;terdahulu
pls;terdapat
uda;terdiri
shit;terhadap
shits;terhadapnya
really;teringat
need;teringat-ingat
someone;terjadi
talk;terjadilah
bodo;terjadinya
amat;terkira
group;terlalu
adek;terlebih
masi;terlihat
school;termasuk
relate;ternyata
gimanaa;tersampaikan
puyeng;tersebut
achievement;tersebutlah
tai;tertentu
kasi;tertuju
leha;terus
perfect;terutama
attendaance;tetap
jawapan;tetapi
jadual;tiap
hape;tiba
slow;tiba-tiba
noti;tidak
because;tidakkah
sekaliii;tidaklah
msh;tiga
inget;tinggi
bang;toh
last;tunjuk
hapyyy;turut
dikick;tutur
intern;tuturnya
tidurrrrrr;ucap
ngzoom;ucapnya
damn;ujar
mostly;ujarnya
braw;umum
temen;umumnya
cont;ungkap
sregep;ungkapnya
jugaaa;untuk
blended;usah
dg;usai
kanca;waduh
akeh;wah
seko;wahai
lol;waktu
ges;waktunya
flat;walau
fandom;walaupun
fangirl;wong
abang;yaitu
ttp;yakin
moto;yakni
anjirt;yang
fak;anjing
abs;habis
wtf;anjing
out;keluar
drpd;daripada
puter;putar
make;buat
waktuny;waktu
selaluu;selalu
troboos;trobos
berenti;berhenti
stop;berhenti
emhnya;memang
td;tadi
grgr;gara
sob;teman
ngga;tidak
stupid;bodoh
nyambi;sambil
badmood;murung
demen;suka
kolor;boxer
diaa;dia
diaaa;dia
bukaan;bukan
international;internasional
officeeee;kantor
free;gratis
gitcu;gitu
darii;dari
uni;universitas
buna;ibu
bunanya;ibu
upload;unggah
story;cerita
kalii;kali
positip;positif
brooooooo;teman
bruuuhhhh;teman
webminar;webinar
skolah;sekolah
gimanasi;bagaimana
skap;skip
cmn;cuma
gblk;bodoh
jim;anjing
eek;beol
cuk;jancuk
sgt;sangat
taekk;tahi
that;itu
hate;benci
college;kuliah
offlen;luring
offlennya;luring
dama;sama
gapapaa;tidak apa
tell;beritahu
us;kami
will;akan
nannya;tanya
anjrit;anjing
smpt;sempat
ayen;aku
univ;universitas
nile;nilai
anjlog;turun
boi;anak
siah;bagaimana
napas;nafas
bernapas;nafas
robb;allah
dgrin;dengar
sek;masih
dikongkon;suruh
kongkon;suruh
najan;karena
salahno;salah
dkk;dsb
mder;teman
dat;itu
prnh;pernah
mhswnya;mahasiswa
mhsw;mahasiswa
kick;usir
paniiikkk;panik
paniikkk;panik
idupin;hidup
rank;peringkat
fav;favorit
masup;masuk
psti;pasti
dpn;depan
kamerlah;kamera
kamer;kamera
bangett;sekali
